geneName	family
FBgn0053648	6
FBgn0053463	6
FBgn0053658	6
FBgn0053922	6
FBgn0044817	7
FBgn0053236	7
FBgn0053237	7
FBgn0053238	7
FBgn0053239	7
FBgn0053240	7
FBgn0053241	7
FBgn0053243	7
FBgn0053244	7
FBgn0053245	7
FBgn0053246	7
FBgn0053247	7
FBgn0053242	7
FBgn0001216	8
FBgn0001217	8
FBgn0001218	8
FBgn0001220	8
FBgn0001230	8
FBgn0013275	8
FBgn0013276	8
FBgn0013277	8
FBgn0013278	8
FBgn0013279	8
FBgn0051354	8
FBgn0266599	8
FBgn0026418	8
FBgn0005586	9
FBgn0015789	9
FBgn0015793	9
FBgn0015797	9
FBgn0031090	9
FBgn0262518	9
FBgn0285937	9
FBgn0039966	9
FBgn0031882	9
FBgn0051118	9
FBgn0025382	9
FBgn0015372	9
FBgn0035255	9
FBgn0000115	10
FBgn0010348	10
FBgn0030088	10
FBgn0034446	10
FBgn0035866	10
FBgn0037551	10
FBgn0038916	10
FBgn0038947	10
FBgn0004908	10
FBgn0013749	10
FBgn0013750	10
FBgn0038915	10
FBgn0013762	11
FBgn0016131	11
FBgn0013435	11
FBgn0015618	11
FBgn0263237	11
FBgn0004106	11
FBgn0004107	11
FBgn0264492	11
FBgn0019949	11
FBgn0028410	11
FBgn0031730	11
FBgn0038902	11
FBgn0000253	12
FBgn0002772	12
FBgn0034774	12
FBgn0050378	12
FBgn0004687	12
FBgn0003514	12
FBgn0053098	12
FBgn0031410	12
FBgn0035161	12
FBgn0004910	12
FBgn0011273	12
FBgn0038830	12
FBgn0031558	13
FBgn0031559	13
FBgn0259954	13
FBgn0031560	13
FBgn0031561	13
FBgn0051779	13
FBgn0259955	13
FBgn0262010	13
FBgn0263082	13
FBgn0031564	13
FBgn0262721	13
FBgn0263842	13
FBgn0000042	14
FBgn0000043	14
FBgn0000045	14
FBgn0000046	14
FBgn0000047	14
FBgn0011743	14
FBgn0000044	14
FBgn0011745	14
FBgn0011742	14
FBgn0025716	14
FBgn0262716	14
FBgn0023197	15
FBgn0030688	15
FBgn0035661	15
FBgn0035663	15
FBgn0035665	15
FBgn0035670	15
FBgn0035678	15
FBgn0036264	15
FBgn0036738	15
FBgn0250815	15
FBgn0040060	15
FBgn0001149	16
FBgn0010039	16
FBgn0010040	16
FBgn0010041	16
FBgn0042206	16
FBgn0010038	16
FBgn0010043	16
FBgn0038020	16
FBgn0010044	16
FBgn0010042	16
FBgn0038029	16
FBgn0063494	17
FBgn0063497	17
FBgn0063498	17
FBgn0063499	17
FBgn0063495	17
FBgn0063491	17
FBgn0063496	17
FBgn0034335	17
FBgn0063492	17
FBgn0063493	17
FBgn0033817	17
FBgn0005670	18
FBgn0011576	18
FBgn0015032	18
FBgn0015033	18
FBgn0015036	18
FBgn0023541	18
FBgn0030367	18
FBgn0036778	18
FBgn0030615	18
FBgn0034053	18
FBgn0035790	18
FBgn0011822	19
FBgn0032049	19
FBgn0051928	19
FBgn0053128	19
FBgn0032303	19
FBgn0032304	19
FBgn0038506	19
FBgn0038507	19
FBgn0051661	19
FBgn0051926	19
FBgn0038505	19
FBgn0264309	20
FBgn0267042	20
FBgn0267043	20
FBgn0267046	20
FBgn0266647	20
FBgn0267044	20
FBgn0267047	20
FBgn0267048	20
FBgn0267049	20
FBgn0267050	20
FBgn0267045	20
FBgn0000326	21
FBgn0015571	21
FBgn0029690	21
FBgn0034736	21
FBgn0015568	21
FBgn0015570	21
FBgn0015572	21
FBgn0261393	21
FBgn0015574	21
FBgn0039084	21
FBgn0000711	22
FBgn0003132	22
FBgn0003134	22
FBgn0003140	22
FBgn0004103	22
FBgn0005778	22
FBgn0005779	22
FBgn0025573	22
FBgn0046698	22
FBgn0261399	22
FBgn0016701	23
FBgn0029959	23
FBgn0015790	23
FBgn0014010	23
FBgn0014009	23
FBgn0035155	23
FBgn0030391	23
FBgn0015791	23
FBgn0015794	23
FBgn0037364	23
FBgn0016684	24
FBgn0024315	24
FBgn0029727	24
FBgn0030452	24
FBgn0031307	24
FBgn0031645	24
FBgn0034490	24
FBgn0038799	24
FBgn0031424	24
FBgn0058263	24
FBgn0027843	25
FBgn0027844	25
FBgn0038956	25
FBgn0039235	25
FBgn0039838	25
FBgn0040629	25
FBgn0030056	25
FBgn0037788	25
FBgn0039486	25
FBgn0040628	25
FBgn0037227	26
FBgn0039444	26
FBgn0039435	26
FBgn0039438	26
FBgn0052570	26
FBgn0243586	26
FBgn0039439	26
FBgn0039440	26
FBgn0039448	26
FBgn0051080	26
FBgn0001285	27
FBgn0003358	27
FBgn0035666	27
FBgn0003356	27
FBgn0031654	27
FBgn0035667	27
FBgn0039777	27
FBgn0039778	27
FBgn0003357	27
FBgn0002930	28
FBgn0024293	28
FBgn0024294	28
FBgn0028983	28
FBgn0033112	28
FBgn0033115	28
FBgn0265137	28
FBgn0028990	28
FBgn0032178	28
FBgn0023496	29
FBgn0032271	29
FBgn0043825	29
FBgn0032264	29
FBgn0024740	29
FBgn0032265	29
FBgn0032266	29
FBgn0034990	29
FBgn0051871	29
FBgn0023550	30
FBgn0029821	30
FBgn0033464	30
FBgn0034142	30
FBgn0034145	30
FBgn0039131	30
FBgn0043792	30
FBgn0034143	30
FBgn0038751	30
FBgn0037323	31
FBgn0033437	31
FBgn0033434	31
FBgn0039106	31
FBgn0053966	31
FBgn0039107	31
FBgn0039864	31
FBgn0050339	31
FBgn0053514	31
FBgn0029866	32
FBgn0033203	32
FBgn0033204	32
FBgn0033205	32
FBgn0050491	32
FBgn0286852	32
FBgn0034500	32
FBgn0038610	32
FBgn0050495	32
FBgn0030222	33
FBgn0030223	33
FBgn0036186	33
FBgn0051445	33
FBgn0039640	33
FBgn0039656	33
FBgn0263236	33
FBgn0285963	33
FBgn0046253	33
FBgn0039475	34
FBgn0031976	34
FBgn0032029	34
FBgn0034166	34
FBgn0039471	34
FBgn0039476	34
FBgn0035453	34
FBgn0036367	34
FBgn0030162	34
FBgn0039030	35
FBgn0038983	35
FBgn0037534	35
FBgn0050008	35
FBgn0051522	35
FBgn0051523	35
FBgn0053110	35
FBgn0260942	35
FBgn0038986	35
FBgn0037617	36
FBgn0037618	36
FBgn0037619	36
FBgn0037620	36
FBgn0039860	36
FBgn0037621	36
FBgn0037317	36
FBgn0037923	36
FBgn0042205	36
FBgn0086915	37
FBgn0267491	37
FBgn0267411	37
FBgn0267413	37
FBgn0267417	37
FBgn0267490	37
FBgn0267492	37
FBgn0267493	37
FBgn0267412	37
FBgn0015316	38
FBgn0036817	38
FBgn0085487	38
FBgn0034052	38
FBgn0039703	38
FBgn0038431	38
FBgn0051954	38
FBgn0029827	38
FBgn0031409	39
FBgn0011834	39
FBgn0031141	39
FBgn0030774	39
FBgn0030775	39
FBgn0030776	39
FBgn0030777	39
FBgn0051205	39
FBgn0000551	40
FBgn0035735	40
FBgn0037069	40
FBgn0050163	40
FBgn0035737	40
FBgn0036110	40
FBgn0037068	40
FBgn0037067	40
FBgn0020641	41
FBgn0033729	41
FBgn0042119	41
FBgn0052404	41
FBgn0052405	41
FBgn0020642	41
FBgn0020765	41
FBgn0085300	41
FBgn0001112	42
FBgn0030592	42
FBgn0030596	42
FBgn0039415	42
FBgn0266435	42
FBgn0030597	42
FBgn0030590	42
FBgn0030598	42
FBgn0001970	43
FBgn0031681	43
FBgn0050463	43
FBgn0027558	43
FBgn0030930	43
FBgn0031530	43
FBgn0039596	43
FBgn0034025	43
FBgn0003205	44
FBgn0003206	44
FBgn0015286	44
FBgn0041191	44
FBgn0037754	44
FBgn0004636	44
FBgn0035711	44
FBgn0283666	44
FBgn0025683	45
FBgn0031515	45
FBgn0020762	45
FBgn0031516	45
FBgn0031449	45
FBgn0032167	45
FBgn0264494	45
FBgn0052091	45
FBgn0003654	46
FBgn0052823	46
FBgn0053499	46
FBgn0283432	46
FBgn0283433	46
FBgn0283434	46
FBgn0053497	46
FBgn0067861	46
FBgn0004425	47
FBgn0004427	47
FBgn0004429	47
FBgn0004430	47
FBgn0034092	47
FBgn0050062	47
FBgn0004428	47
FBgn0004431	47
FBgn0010549	48
FBgn0039207	48
FBgn0032018	48
FBgn0032456	48
FBgn0051792	48
FBgn0032026	48
FBgn0038740	48
FBgn0263316	48
FBgn0011294	49
FBgn0037431	49
FBgn0037432	49
FBgn0265272	49
FBgn0032453	49
FBgn0037433	49
FBgn0038973	49
FBgn0038972	49
FBgn0015230	50
FBgn0028560	50
FBgn0034247	50
FBgn0036316	50
FBgn0033644	50
FBgn0037387	50
FBgn0034909	50
FBgn0037386	50
FBgn0026393	51
FBgn0033041	51
FBgn0033043	51
FBgn0034865	51
FBgn0034866	51
FBgn0039551	51
FBgn0030016	51
FBgn0037576	51
FBgn0027552	52
FBgn0035476	52
FBgn0036183	52
FBgn0086254	52
FBgn0033101	52
FBgn0036290	52
FBgn0058064	52
FBgn0037537	52
FBgn0029648	53
FBgn0035588	53
FBgn0040349	53
FBgn0030968	53
FBgn0051546	53
FBgn0051549	53
FBgn0037354	53
FBgn0051548	53
FBgn0000229	54
FBgn0052703	54
FBgn0003256	54
FBgn0024846	54
FBgn0015765	54
FBgn0267339	54
FBgn0011817	54
FBgn0000384	55
FBgn0001104	55
FBgn0004435	55
FBgn0010223	55
FBgn0001123	55
FBgn0033756	55
FBgn0050054	55
FBgn0000473	56
FBgn0013773	56
FBgn0033121	56
FBgn0039519	56
FBgn0033982	56
FBgn0013772	56
FBgn0031726	56
FBgn0000533	57
FBgn0038144	57
FBgn0039101	57
FBgn0051219	57
FBgn0051220	57
FBgn0042106	57
FBgn0033469	57
FBgn0031058	58
FBgn0050289	58
FBgn0050414	58
FBgn0050287	58
FBgn0053225	58
FBgn0050288	58
FBgn0069056	58
FBgn0035496	59
FBgn0031471	59
FBgn0031389	59
FBgn0028517	59
FBgn0031470	59
FBgn0051827	59
FBgn0032639	59
FBgn0038481	60
FBgn0038482	60
FBgn0038484	60
FBgn0051265	60
FBgn0051269	60
FBgn0038479	60
FBgn0038485	60
FBgn0001301	61
FBgn0030114	61
FBgn0032485	61
FBgn0034396	61
FBgn0037978	61
FBgn0038475	61
FBgn0040230	61
FBgn0002413	62
FBgn0030384	62
FBgn0015024	62
FBgn0031441	62
FBgn0032650	62
FBgn0037325	62
FBgn0250823	62
FBgn0033048	63
FBgn0034782	63
FBgn0034783	63
FBgn0034784	63
FBgn0050265	63
FBgn0034785	63
FBgn0050272	63
FBgn0028886	64
FBgn0029762	64
FBgn0033708	64
FBgn0035969	64
FBgn0033443	64
FBgn0034381	64
FBgn0039915	64
FBgn0028944	65
FBgn0028945	65
FBgn0028949	65
FBgn0038285	65
FBgn0028947	65
FBgn0028948	65
FBgn0028950	65
FBgn0030880	66
FBgn0050281	66
FBgn0031804	66
FBgn0034160	66
FBgn0050280	66
FBgn0051832	66
FBgn0035452	66
FBgn0030310	67
FBgn0033327	67
FBgn0035806	67
FBgn0037906	67
FBgn0043575	67
FBgn0043576	67
FBgn0043578	67
FBgn0263776	68
FBgn0035300	68
FBgn0036007	68
FBgn0032036	68
FBgn0033760	68
FBgn0036116	68
FBgn0052079	68
FBgn0030984	69
FBgn0032078	69
FBgn0031468	69
FBgn0033271	69
FBgn0031472	69
FBgn0085480	69
FBgn0085481	69
FBgn0032080	70
FBgn0032082	70
FBgn0039591	70
FBgn0052984	70
FBgn0052985	70
FBgn0035888	70
FBgn0038832	70
FBgn0053454	71
FBgn0034906	71
FBgn0035011	71
FBgn0035012	71
FBgn0039621	71
FBgn0053725	71
FBgn0053453	71
FBgn0034321	72
FBgn0034322	72
FBgn0034323	72
FBgn0034324	72
FBgn0034325	72
FBgn0054028	72
FBgn0034326	72
FBgn0035434	73
FBgn0052279	73
FBgn0052268	73
FBgn0052274	73
FBgn0052282	73
FBgn0052283	73
FBgn0283461	73
FBgn0000056	74
FBgn0000055	74
FBgn0036620	74
FBgn0000640	74
FBgn0011693	74
FBgn0042137	74
FBgn0000173	75
FBgn0028913	75
FBgn0264848	75
FBgn0004436	75
FBgn0010602	75
FBgn0030863	75
FBgn0000273	76
FBgn0000274	76
FBgn0003744	76
FBgn0013987	76
FBgn0039796	76
FBgn0024227	76
FBgn0000449	77
FBgn0034387	77
FBgn0036806	77
FBgn0038681	77
FBgn0037817	77
FBgn0038680	77
FBgn0031182	78
FBgn0033065	78
FBgn0033696	78
FBgn0025454	78
FBgn0031126	78
FBgn0033697	78
FBgn0050087	79
FBgn0050090	79
FBgn0263040	79
FBgn0050082	79
FBgn0050088	79
FBgn0050083	79
FBgn0035070	80
FBgn0037038	80
FBgn0037036	80
FBgn0037039	80
FBgn0083965	80
FBgn0039568	80
FBgn0052270	81
FBgn0052271	81
FBgn0053159	81
FBgn0053160	81
FBgn0052277	81
FBgn0085319	81
FBgn0051776	82
FBgn0051956	82
FBgn0036528	82
FBgn0035375	82
FBgn0036529	82
FBgn0036527	82
FBgn0083141	83
FBgn0028987	83
FBgn0028986	83
FBgn0028988	83
FBgn0053121	83
FBgn0051902	83
FBgn0010341	84
FBgn0014020	84
FBgn0039532	84
FBgn0010333	84
FBgn0014011	84
FBgn0014380	84
FBgn0004034	85
FBgn0032601	85
FBgn0039896	85
FBgn0041710	85
FBgn0041713	85
FBgn0038105	85
FBgn0035853	86
FBgn0011217	86
FBgn0015321	86
FBgn0031331	86
FBgn0030386	86
FBgn0033544	86
FBgn0039916	87
FBgn0038840	87
FBgn0026255	87
FBgn0028422	87
FBgn0038837	87
FBgn0051201	87
FBgn0030200	88
FBgn0052670	88
FBgn0052673	88
FBgn0052671	88
FBgn0030221	88
FBgn0067052	88
FBgn0013763	89
FBgn0020414	89
FBgn0020416	89
FBgn0020415	89
FBgn0026415	89
FBgn0064237	89
FBgn0015010	90
FBgn0052679	90
FBgn0261848	90
FBgn0020508	90
FBgn0030562	90
FBgn0032853	90
FBgn0016123	91
FBgn0032779	91
FBgn0033423	91
FBgn0035619	91
FBgn0037786	91
FBgn0043791	91
FBgn0019929	92
FBgn0027930	92
FBgn0039102	92
FBgn0030926	92
FBgn0038250	92
FBgn0032753	92
FBgn0022700	93
FBgn0022702	93
FBgn0034580	93
FBgn0038180	93
FBgn0050293	93
FBgn0034582	93
FBgn0025115	94
FBgn0033893	94
FBgn0030078	94
FBgn0031700	94
FBgn0085190	94
FBgn0038363	94
FBgn0026190	95
FBgn0039779	95
FBgn0039776	95
FBgn0039780	95
FBgn0051014	95
FBgn0039784	95
FBgn0027578	96
FBgn0039611	96
FBgn0039024	96
FBgn0039609	96
FBgn0039612	96
FBgn0039613	96
FBgn0027611	97
FBgn0032069	97
FBgn0032253	97
FBgn0032066	97
FBgn0032068	97
FBgn0032067	97
FBgn0053281	98
FBgn0031517	98
FBgn0031523	98
FBgn0053282	98
FBgn0031522	98
FBgn0037485	98
FBgn0058160	99
FBgn0033320	99
FBgn0033321	99
FBgn0032213	99
FBgn0032507	99
FBgn0037627	99
FBgn0029172	100
FBgn0039756	100
FBgn0038130	100
FBgn0039755	100
FBgn0043043	100
FBgn0086687	100
FBgn0029506	101
FBgn0029507	101
FBgn0029508	101
FBgn0033139	101
FBgn0033133	101
FBgn0033134	101
FBgn0029804	102
FBgn0033774	102
FBgn0031929	102
FBgn0035718	102
FBgn0031930	102
FBgn0259149	102
FBgn0029974	103
FBgn0053481	103
FBgn0040823	103
FBgn0260995	103
FBgn0085414	103
FBgn0053512	103
FBgn0031032	104
FBgn0039091	104
FBgn0039092	104
FBgn0039093	104
FBgn0053337	104
FBgn0033792	104
FBgn0031465	105
FBgn0032338	105
FBgn0032967	105
FBgn0032964	105
FBgn0037964	105
FBgn0051933	105
FBgn0039313	106
FBgn0039311	106
FBgn0039312	106
FBgn0051380	106
FBgn0051098	106
FBgn0052195	106
FBgn0035781	107
FBgn0035791	107
FBgn0035780	107
FBgn0052379	107
FBgn0035779	107
FBgn0035777	107
FBgn0032888	108
FBgn0053348	108
FBgn0066292	108
FBgn0067311	108
FBgn0066293	108
FBgn0067312	108
FBgn0053703	109
FBgn0053775	109
FBgn0053784	109
FBgn0053700	109
FBgn0053783	109
FBgn0053702	109
FBgn0033860	110
FBgn0033868	110
FBgn0034132	110
FBgn0052064	110
FBgn0259795	110
FBgn0045770	110
FBgn0034382	111
FBgn0034383	111
FBgn0037761	111
FBgn0037762	111
FBgn0037763	111
FBgn0051141	111
FBgn0037164	112
FBgn0016078	112
FBgn0037163	112
FBgn0037165	112
FBgn0041087	112
FBgn0037166	112
FBgn0037465	113
FBgn0042105	113
FBgn0037517	113
FBgn0042102	113
FBgn0042103	113
FBgn0042104	113
FBgn0037601	114
FBgn0038236	114
FBgn0038005	114
FBgn0038006	114
FBgn0038007	114
FBgn0038076	114
FBgn0037818	115
FBgn0039052	115
FBgn0039049	115
FBgn0039053	115
FBgn0039050	115
FBgn0039051	115
FBgn0037936	116
FBgn0039323	116
FBgn0039326	116
FBgn0039328	116
FBgn0045761	116
FBgn0042110	116
FBgn0041249	117
FBgn0045500	117
FBgn0045497	117
FBgn0045498	117
FBgn0045501	117
FBgn0265138	117
FBgn0053664	118
FBgn0053666	118
FBgn0053668	118
FBgn0053665	118
FBgn0053667	118
FBgn0053669	118
FBgn0000032	119
FBgn0036875	119
FBgn0036877	119
FBgn0036876	119
FBgn0038912	119
FBgn0013348	120
FBgn0010423	120
FBgn0033027	120
FBgn0010424	120
FBgn0031692	120
FBgn0002633	121
FBgn0002733	121
FBgn0002609	121
FBgn0002734	121
FBgn0002735	121
FBgn0001225	122
FBgn0001226	122
FBgn0011296	122
FBgn0001229	122
FBgn0035817	122
FBgn0036015	123
FBgn0020906	123
FBgn0031653	123
FBgn0035887	123
FBgn0035886	123
FBgn0002569	124
FBgn0033297	124
FBgn0002570	124
FBgn0033296	124
FBgn0050360	124
FBgn0002778	125
FBgn0028425	125
FBgn0030574	125
FBgn0039487	125
FBgn0039844	125
FBgn0002921	126
FBgn0263006	126
FBgn0266432	126
FBgn0052451	126
FBgn0267363	126
FBgn0003308	127
FBgn0038348	127
FBgn0038349	127
FBgn0038350	127
FBgn0267408	127
FBgn0003884	128
FBgn0003885	128
FBgn0003886	128
FBgn0038565	128
FBgn0087040	128
FBgn0003890	129
FBgn0003888	129
FBgn0003889	129
FBgn0052396	129
FBgn0284243	129
FBgn0004066	130
FBgn0016697	130
FBgn0086134	130
FBgn0265606	130
FBgn0017556	130
FBgn0004432	131
FBgn0033089	131
FBgn0002936	131
FBgn0036415	131
FBgn0034753	131
FBgn0004589	132
FBgn0004594	132
FBgn0014851	132
FBgn0014849	132
FBgn0262528	132
FBgn0004646	133
FBgn0027106	133
FBgn0027108	133
FBgn0265274	133
FBgn0085387	133
FBgn0010014	134
FBgn0015614	134
FBgn0034558	134
FBgn0037358	134
FBgn0025642	134
FBgn0030897	135
FBgn0083228	135
FBgn0013303	135
FBgn0036926	135
FBgn0039380	135
FBgn0013305	136
FBgn0025692	136
FBgn0038209	136
FBgn0050379	136
FBgn0053673	136
FBgn0013770	137
FBgn0033874	137
FBgn0032228	137
FBgn0034229	137
FBgn0037396	137
FBgn0040259	138
FBgn0036842	138
FBgn0040251	138
FBgn0040257	138
FBgn0050438	138
FBgn0030661	139
FBgn0034710	139
FBgn0034712	139
FBgn0283480	139
FBgn0283479	139
FBgn0019830	140
FBgn0030218	140
FBgn0031881	140
FBgn0032219	140
FBgn0039525	140
FBgn0020637	141
FBgn0020638	141
FBgn0020639	141
FBgn0086611	141
FBgn0020640	141
FBgn0026268	142
FBgn0263830	142
FBgn0030073	142
FBgn0038946	142
FBgn0069973	142
FBgn0026314	143
FBgn0040250	143
FBgn0040253	143
FBgn0040255	143
FBgn0051002	143
FBgn0027073	144
FBgn0032684	144
FBgn0034605	144
FBgn0038886	144
FBgn0040091	144
FBgn0040260	145
FBgn0038082	145
FBgn0026755	145
FBgn0026756	145
FBgn0038083	145
FBgn0027563	146
FBgn0053329	146
FBgn0038211	146
FBgn0000808	146
FBgn0051326	146
FBgn0028668	147
FBgn0262736	147
FBgn0028667	147
FBgn0032294	147
FBgn0262513	147
FBgn0028669	148
FBgn0028670	148
FBgn0028671	148
FBgn0032373	148
FBgn0038613	148
FBgn0028896	149
FBgn0035479	149
FBgn0036421	149
FBgn0051807	149
FBgn0053552	149
FBgn0028940	150
FBgn0030339	150
FBgn0030949	150
FBgn0031688	150
FBgn0031689	150
FBgn0038449	151
FBgn0038451	151
FBgn0038032	151
FBgn0038450	151
FBgn0039620	151
FBgn0029975	152
FBgn0032614	152
FBgn0032615	152
FBgn0051809	152
FBgn0051810	152
FBgn0030148	153
FBgn0031034	153
FBgn0038873	153
FBgn0259229	153
FBgn0031033	153
FBgn0030224	154
FBgn0030451	154
FBgn0032968	154
FBgn0038357	154
FBgn0039577	154
FBgn0036760	155
FBgn0034713	155
FBgn0036759	155
FBgn0052487	155
FBgn0052488	155
FBgn0030525	156
FBgn0052445	156
FBgn0032372	156
FBgn0035679	156
FBgn0043783	156
FBgn0030538	157
FBgn0030563	157
FBgn0030566	157
FBgn0052598	157
FBgn0052601	157
FBgn0030840	158
FBgn0031142	158
FBgn0034467	158
FBgn0037101	158
FBgn0037502	158
FBgn0031426	159
FBgn0032289	159
FBgn0250847	159
FBgn0085476	159
FBgn0085477	159
FBgn0261630	160
FBgn0261634	160
FBgn0260645	160
FBgn0261633	160
FBgn0260646	160
FBgn0031592	161
FBgn0032329	161
FBgn0037834	161
FBgn0038188	161
FBgn0038189	161
FBgn0031631	162
FBgn0033160	162
FBgn0086444	162
FBgn0032194	162
FBgn0032883	162
FBgn0031935	163
FBgn0053296	163
FBgn0031936	163
FBgn0031937	163
FBgn0031939	163
FBgn0032899	164
FBgn0032900	164
FBgn0032422	164
FBgn0032897	164
FBgn0051675	164
FBgn0032084	165
FBgn0011705	165
FBgn0032085	165
FBgn0032086	165
FBgn0032553	165
FBgn0032433	166
FBgn0034715	166
FBgn0034716	166
FBgn0036732	166
FBgn0050277	166
FBgn0033479	167
FBgn0037915	167
FBgn0039518	167
FBgn0037916	167
FBgn0039010	167
FBgn0053723	168
FBgn0053912	168
FBgn0053632	168
FBgn0053764	168
FBgn0053914	168
FBgn0039368	169
FBgn0039369	169
FBgn0039370	169
FBgn0039366	169
FBgn0039367	169
FBgn0034105	170
FBgn0039358	170
FBgn0035005	170
FBgn0027291	170
FBgn0038922	170
FBgn0034221	171
FBgn0050091	171
FBgn0050187	171
FBgn0261584	171
FBgn0262570	171
FBgn0034470	172
FBgn0034468	172
FBgn0034471	172
FBgn0043533	172
FBgn0043530	172
FBgn0035034	173
FBgn0037460	173
FBgn0037461	173
FBgn0037462	173
FBgn0038089	173
FBgn0035154	174
FBgn0051821	174
FBgn0052483	174
FBgn0038738	174
FBgn0051823	174
FBgn0035726	175
FBgn0038702	175
FBgn0038700	175
FBgn0038701	175
FBgn0038705	175
FBgn0035811	176
FBgn0035911	176
FBgn0036824	176
FBgn0037999	176
FBgn0038742	176
FBgn0037370	177
FBgn0032350	177
FBgn0032889	177
FBgn0051673	177
FBgn0051674	177
FBgn0038260	178
FBgn0038261	178
FBgn0038262	178
FBgn0038720	178
FBgn0038716	178
FBgn0039315	179
FBgn0039316	179
FBgn0051104	179
FBgn0051300	179
FBgn0051436	179
FBgn0041235	180
FBgn0041236	180
FBgn0045485	180
FBgn0045486	180
FBgn0045487	180
FBgn0052499	181
FBgn0032598	181
FBgn0034197	181
FBgn0260653	181
FBgn0261341	181
FBgn0053269	182
FBgn0053272	182
FBgn0053270	182
FBgn0053271	182
FBgn0053500	182
FBgn0053640	183
FBgn0053643	183
FBgn0053641	183
FBgn0053642	183
FBgn0053645	183
FBgn0053767	184
FBgn0053768	184
FBgn0053769	184
FBgn0053770	184
FBgn0053771	184
FBgn0000075	185
FBgn0000422	185
FBgn0050446	185
FBgn0259977	185
FBgn0000276	186
FBgn0000277	186
FBgn0000279	186
FBgn0000278	186
FBgn0033978	187
FBgn0033980	187
FBgn0015714	187
FBgn0033979	187
FBgn0034756	188
FBgn0039006	188
FBgn0038194	188
FBgn0032693	188
FBgn0028866	189
FBgn0263041	189
FBgn0032551	189
FBgn0260477	189
FBgn0039630	190
FBgn0039629	190
FBgn0039628	190
FBgn0036891	190
FBgn0033728	191
FBgn0033597	191
FBgn0033730	191
FBgn0050045	191
FBgn0015576	192
FBgn0015569	192
FBgn0015575	192
FBgn0015577	192
FBgn0003139	193
FBgn0004177	193
FBgn0023177	193
FBgn0036212	193
FBgn0001134	194
FBgn0010240	194
FBgn0024963	194
FBgn0033558	194
FBgn0001186	195
FBgn0042711	195
FBgn0001187	195
FBgn0042710	195
FBgn0001281	196
FBgn0001280	196
FBgn0040963	196
FBgn0041102	196
FBgn0035795	197
FBgn0052374	197
FBgn0052376	197
FBgn0052269	197
FBgn0038001	198
FBgn0038003	198
FBgn0038002	198
FBgn0038014	198
FBgn0039272	199
FBgn0036436	199
FBgn0042098	199
FBgn0034666	199
FBgn0001313	200
FBgn0013810	200
FBgn0283476	200
FBgn0013811	200
FBgn0001942	201
FBgn0004419	201
FBgn0037573	201
FBgn0014189	201
FBgn0002562	202
FBgn0002563	202
FBgn0002564	202
FBgn0002565	202
FBgn0002869	203
FBgn0038790	203
FBgn0262146	203
FBgn0053192	203
FBgn0003249	204
FBgn0014019	204
FBgn0003250	204
FBgn0036260	204
FBgn0003317	205
FBgn0011300	205
FBgn0003716	205
FBgn0003169	205
